r;ampl4
41.20054;-3.869171
41.3006;-3.865431
41.40066;-3.860629
41.50071;-3.856555
41.60077;-3.852224
41.70081;-3.848179
41.80082;-3.844889
41.90086;-3.841398
42.00097;-3.838034
42.10103;-3.835247
42.20102;-3.832346
42.30092;-3.830095
42.40087;-3.828025
42.50084;-3.824929
42.60083;-3.822735
42.70086;-3.820239
42.80086;-3.818545
42.90087;-3.816581
43.00089;-3.814669
43.10092;-3.811836
43.20091;-3.810427
43.30089;-3.807733
43.40089;-3.805652
43.5009;-3.803013
43.60096;-3.800144
43.70106;-3.798179
43.80113;-3.794897
43.9012;-3.792395
44.00001;-3.789546
44.10112;-3.785578
44.20096;-3.782024
44.30082;-3.778332
44.40074;-3.775482
44.50075;-3.771932
44.60076;-3.768518
44.70079;-3.764941
44.80078;-3.760639
44.90072;-3.757835
45.00067;-3.754261
45.10067;-3.750495
45.20068;-3.747688
45.3007;-3.743684
45.40075;-3.74104
45.50083;-3.73714
45.60084;-3.734035
45.70081;-3.730339
45.80077;-3.726856
45.90076;-3.723076
46.00077;-3.719707
46.10075;-3.716495
46.20068;-3.713177
46.30062;-3.709788
46.40055;-3.706503
46.50042;-3.702071
46.60023;-3.69959
46.70007;-3.694694
46.80115;-3.691813
46.90104;-3.688085
47.001;-3.684137
47.10102;-3.680757
47.20102;-3.676573
47.30104;-3.673049
47.40101;-3.668846
47.50088;-3.665489
47.60072;-3.661582
47.70049;-3.65732
47.80028;-3.653542
47.90015;-3.6489
48.00003;-3.645041
48.10115;-3.640131
48.20112;-3.636143
48.30107;-3.631807
48.40093;-3.626666
48.50077;-3.622659
48.60061;-3.617566
48.70051;-3.613083
48.80046;-3.608152
48.90043;-3.603299
49.00039;-3.598206
49.10035;-3.593717
49.20023;-3.588614
49.3;-3.584112
49.40093;-3.579
49.50066;-3.574837
49.60045;-3.56984
49.7003;-3.565247
49.80022;-3.560701
49.90015;-3.555823
