r;ampl1;ampl2
41.60077;-2.260047;-5.271662
41.70081;-2.260311;-5.258538
41.80082;-2.260539;-5.250294
41.90086;-2.261237;-5.241835
42.00097;-2.263674;-5.234739
42.10103;-2.26112;-5.228894
42.20102;-2.263912;-5.221497
42.30092;-2.263943;-5.213479
42.40087;-2.265687;-5.211569
42.50084;-2.267378;-5.212941
42.60083;-2.269371;-5.218034
42.70086;-2.266521;-5.219378
42.80086;-2.264975;-5.218622
42.90087;-2.265525;-5.220905
43.00089;-2.265409;-5.22658
43.10092;-2.266386;-5.232096
43.20091;-2.267492;-5.239248
43.30089;-2.269132;-5.246994
43.40089;-2.270925;-5.253373
43.5009;-2.272015;-5.258633
43.60096;-2.273596;-5.263966
43.70106;-2.270642;-5.274342
43.80113;-2.270192;-5.2845
43.9012;-2.267779;-5.29445
44.00001;-2.26587;-5.306039
44.10112;-2.263544;-5.32032
44.20096;-2.262725;-5.332754
44.30082;-2.263536;-5.346358
44.40074;-2.26077;-5.361372
44.50075;-2.260435;-5.378378
44.60076;-2.260928;-5.39339
44.70079;-2.262007;-5.408605
44.80078;-2.265235;-5.430697
44.90072;-2.2687;-5.46145
45.00067;-2.273426;-5.487417
45.10067;-2.275581;-5.509499
45.20068;-2.276973;-5.532362
45.3007;-2.27765;-5.55844
45.40075;-2.276504;-5.588801
45.50083;-2.277292;-5.61668
45.60084;-2.274251;-5.647047
45.70081;-2.270217;-5.674106
45.80077;-2.267906;-5.71855
45.90076;-2.26582;-5.769686
46.00077;-2.263709;-5.809498
46.10075;-2.262917;-5.849193
46.20068;-2.263881;-5.886136
46.30062;-2.264286;-5.919499
46.40055;-2.264953;-5.976212
46.50042;-2.266037;-6.046223
46.60023;-2.269488;-6.090777
46.70007;-2.274743;-6.127416
46.80115;-2.280788;-6.209705
46.90104;-2.280317;-6.370055
47.001;-2.281196;-6.507831
47.10102;-2.282112;-6.519662
47.20102;-2.28399;-6.500069
47.30104;-2.284632;-6.488217
47.40101;-2.284038;-6.422218
47.50088;-2.283233;-6.384144
47.60072;-2.279553;-6.416401
47.70049;-2.274312;-6.46244
47.80028;-2.270127;-6.380136
47.90015;-2.267865;-6.231667
48.00003;-2.267989;-6.155559
48.10115;-2.270796;-6.108913
48.20112;-2.273286;-6.057089
48.30107;-2.276489;-6.01836
48.40093;-2.277315;-5.983105
48.50077;-2.280051;-5.939624
48.60061;-2.285517;-5.921158
48.70051;-2.291463;-5.92559
48.80046;-2.291165;-5.907174
48.90043;-2.292166;-5.854543
49.00039;-2.292041;-5.8041
49.10035;-2.292735;-5.753437
49.20023;-2.291191;-5.728161
49.3;-2.28929;-5.726374
49.40093;-2.287388;-5.726226
49.50066;-2.28442;-5.703504
49.60045;-2.283134;-5.673503
49.7003;-2.280937;-5.650963
49.80022;-2.278846;-5.635292
49.90015;-2.277801;-5.621297
;;-5.615227
